0.0	0.0	0.2	0.2	2.77475637639
0.0	0.2	0.2	0.4	0.332778702163
0.0	0.4	0.2	0.6	-0.333311112592
0.0	0.6	0.2	0.8	nan
0.0	0.8	0.2	1.0	nan
0.2	0.0	0.4	0.2	0.0751602165282
0.2	0.2	0.4	0.4	3.83867832847
0.2	0.4	0.4	0.6	-7.60255566009
0.2	0.6	0.4	0.8	-6.42490005711
0.2	0.8	0.4	1.0	nan
0.4	0.0	0.6	0.2	0.0322048745298
0.4	0.2	0.6	0.4	-0.170003213904
0.4	0.4	0.6	0.6	4.52239022095
0.4	0.6	0.6	0.8	-10.7256246851
0.4	0.8	0.6	1.0	-1.59971205183
0.6	0.0	0.8	0.2	0.999800039992
0.6	0.2	0.8	0.4	-9.22152143719
0.6	0.4	0.8	0.6	-0.246496820326
0.6	0.6	0.8	0.8	3.40968162662
0.6	0.8	0.8	1.0	-1.24268510359
0.8	0.0	1.0	0.2	nan
0.8	0.2	1.0	0.4	nan
0.8	0.4	1.0	0.6	-7.34622908063
0.8	0.6	1.0	0.8	-2.68782522685
0.8	0.8	1.0	1.0	2.78616685356
